date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:34:20	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Sat,%2011%20Sep%202021%2002:34:19%20GMT	https://voices.uchicago.edu/ignite/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/admin-ajax.php	(from https://voices.uchicago.edu/ignite/)
22:34:20	6488/6488	U-----	200	untouched ('OK')	text/css	etag:W/%225f29ab25-1958%22	https://voices.uchicago.edu/ignite/wp-content/themes/divi/includes/builder/styles/magnific_popup.css?ver=4.9.6	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/magnific_popup1845.css	(from https://voices.uchicago.edu/ignite/)
22:34:21	92400/92400	---M--	200	added ('OK')	application/octet-stream	etag:%225bced3c1-168f0%22	https://voices.uchicago.edu/ignite/wp-content/themes/divi/core/admin/fonts/modules.ttf	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/modules.ttf	(from https://voices.uchicago.edu/ignite/)
22:34:21	89496/89496	U-----	200	untouched ('OK')	application/x-javascript	etag:W/%225ff52f29-15d98%22	https://voices.uchicago.edu/ignite/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/jquery.min9d52.js	(from https://voices.uchicago.edu/ignite/)
22:34:21	0/0	---MC-	302	error ('Found')	image/png	etag:f44d02c12ca8658ad5c6be307757c34a	https://voices.uchicago.edu/ignite/files/2021/01/cropped-IGNITE-icon-32x32.png	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/cropped-ignite-icon-32x32.png	(from https://voices.uchicago.edu/ignite/)
22:34:21	11224/11224	U-----	200	untouched ('OK')	application/x-javascript	etag:W/%225ff52f29-2bd8%22	https://voices.uchicago.edu/ignite/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/jquery-migrate.mind617.js	(from https://voices.uchicago.edu/ignite/)
22:34:21	0/0	---MC-	302	error ('Found')	image/png	etag:0c8b8c8d6a96c56a1490fb7ad3ec8b1b	https://voices.uchicago.edu/ignite/files/2021/01/cropped-IGNITE-icon-192x192.png	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/cropped-ignite-icon-192x192.png	(from https://voices.uchicago.edu/ignite/)
22:34:21	158/158	U-----	200	untouched ('OK')	application/x-javascript	etag:W/%225f51ba48-9e%22	https://voices.uchicago.edu/ignite/wp-content/themes/voices-3/ds-script.js?ver=5.7.2	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/ds-script9f31.js	(from https://voices.uchicago.edu/ignite/)
22:34:21	0/0	---MC-	302	error ('Found')	image/png	etag:fb0c4240786192ff83949b5ce61b6b91	https://voices.uchicago.edu/ignite/files/2021/01/cropped-IGNITE-icon-180x180.png	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/cropped-ignite-icon-180x180.png	(from https://voices.uchicago.edu/ignite/)
22:34:22	3181/3181	U-----	200	untouched ('OK')	application/x-javascript	etag:W/%225e54d4ae-c6d%22	https://voices.uchicago.edu/ignite/wp-content/mu-plugins/divi-builder-additional-modules-files/Divi-Blog-Extras/scripts/frontend-bundle.min.js?ver=2.3.2	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/frontend-bundle.min95b8.js	(from https://voices.uchicago.edu/ignite/)
22:34:22	0/0	---MC-	302	error ('Found')	image/png	etag:e877a8ba64383073a8a1b8c429424ac1	https://voices.uchicago.edu/ignite/files/2021/03/uchicago_gme-logo-600x140.png	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/uchicago_gme-logo-600x140.png	(from https://voices.uchicago.edu/ignite/)
22:34:22	472/472	U-----	200	untouched ('OK')	application/x-javascript	etag:W/%225e54d4ae-1d8%22	https://voices.uchicago.edu/ignite/wp-content/mu-plugins/divi-builder-additional-modules-files/Divi-Blog-Extras/scripts/widget.min.js?ver=2.3.2	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/widget.min95b8.js	(from https://voices.uchicago.edu/ignite/)
22:34:22	0/0	---MC-	302	error ('Found')	image/png	etag:363de4ce406948dab2a36f6b5840c23e	https://voices.uchicago.edu/ignite/files/2021/01/ignite-logo.png	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/ignite-logo.png	(from https://voices.uchicago.edu/ignite/)
22:34:22	40205/40205	---M--	200	added ('OK')	image/png	etag:%22d737afb93d5b8ebff3a21cd03b7b6f85%22	https://cpb-us-w2.wpmucdn.com/voices.uchicago.edu/dist/e/2936/files/2021/01/ignite-logo.png	C:/My%20Web%20Sites/Ignite%20Website/cpb-us-w2.wpmucdn.com/ignite-logo.png	(from https://voices.uchicago.edu/ignite/)
22:34:22	0/0	---MC-	302	error ('Found')	image/png	etag:bc20f2857f9d6a38d0bc165380011561	https://voices.uchicago.edu/ignite/files/2021/01/ignite_logo-no-tl-glow.png	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/ignite_logo-no-tl-glow.png	(from https://voices.uchicago.edu/ignite/)
22:34:22	143689/143689	---M--	200	added ('OK')	image/png	etag:%22895d9eeba53f073cb6d1bfc2cf1ced17%22	https://cpb-us-w2.wpmucdn.com/voices.uchicago.edu/dist/e/2936/files/2021/01/ignite_logo-no-tl-glow.png	C:/My%20Web%20Sites/Ignite%20Website/cpb-us-w2.wpmucdn.com/ignite_logo-no-tl-glow.png	(from https://voices.uchicago.edu/ignite/)
22:34:23	139604/139604	U--MC-	200	updated ('OK')	application/json	date:Sat,%2011%20Sep%202021%2002:34:21%20GMT	https://voices.uchicago.edu/ignite/wp-json/	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/index-5.html	(from https://voices.uchicago.edu/ignite/)
22:34:23	0/0	---MC-	302	error ('Found')	image/jpeg	etag:41f6ebfedb3f400e6d5c15a57108a70f	https://voices.uchicago.edu/ignite/files/2021/01/MD-in-Room-AIQ1.jpg	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/md-in-room-aiq1.jpg	(from https://voices.uchicago.edu/ignite/)
